nom site,Pollution_moyenne,Cluster
ARGENTEUIL,7.276987738149238,1
AUBERVILLIERS,8.445474035064594,1
Auto A1 -Saint-Denis,37.532770028890305,2
Av Champs Elysees,15.558855534112444,3
BOBIGNY,10.694375387485632,3
Bld peripherique Est,34.61700873688495,3
Boulevard Haussmann,18.82517707968297,3
Boulevard Soult,13.859427237390573,1
CERGY-PONTOISE,8.828300348016189,0
CHAMPIGNY-SUR-MARNE,12.918488428987711,0
EVRY,5.687880554099738,1
GENNEVILLIERS,10.968484062778002,3
GONESSE,7.427578185636715,1
LA DEFENSE,7.561324842961733,1
LES ULIS,7.333647505384302,0
LOGNES,14.033730431924443,0
MANTES-LA-JOLIE,12.442709851158217,0
MELUN,10.389060347879997,0
MONTGERON,11.548807730308855,0
NEUILLY-SUR-SEINE,13.731667921882208,0
NOGENT-SUR-MARNE,2.0923433583360636,0
PARIS 12eme,7.575203821803589,1
PARIS 13eme,12.60146344495927,0
PARIS 18eme,17.785610466386427,3
PARIS 1er Les Halles,16.55563790792022,3
PARIS 7eme,7.016670271070934,1
PARIS Stade Lenglen,7.76585058096323,1
Place Victor Basch,26.411654757786778,2
Place de l'Opéra,20.710144379674876,3
Quai des Celestins,17.226241835491635,1
RN2-PANTIN,21.401836340315594,3
RN20 - MONTLHERY,37.1077470357768,3
RN6-MELUN,23.105943026678553,3
Rue Bonaparte,13.343735700710406,1
SAINT-DENIS,7.977132291148956,1
TREMBLAY-EN-FRANCE,14.638596440848868,0
VERSAILLES,10.953160115944748,0
VILLEMOMBLE,12.85758760774494,0
VITRY-SUR-SEINE,16.30285597962219,0
